metric,delay,factor
GO Trips,0.0,0.8298678926825719
GO Trips,1.0,0.8654903812611601
GO Trips,2.0,0.8778583084735452
GO Trips,3.0,0.8878686257626321
GO Trips,4.0,0.896308825152967
GO Trips,5.0,0.8994786718064465
GO Trips,6.0,0.9078253906505028
GO Trips,7.0,0.912079090846218
GO Trips,8.0,0.9181691364967491
GO Trips,9.0,0.9282585939084502
GO Trips,10.0,0.9344699738028648
GO Trips,11.0,0.9362013585047645
GO Trips,12.0,0.9401823246013067
GO Trips,13.0,0.9461641894309315
GO Trips,14.0,0.9515824664153552
GO Trips,15.0,0.9561274560394961
GO Trips,16.0,0.9590629327208549
GO Trips,17.0,0.9609001049077219
GO Trips,18.0,0.9627327271668048
GO Trips,19.0,0.9639550984706506
GO Trips,20.0,0.9648709639879969
GO Trips,21.0,0.9656272239328735
GO Trips,22.0,0.9684900882539942
GO Trips,23.0,0.9764584303015014
GO Trips,24.0,0.9810811364871277
GO Trips,25.0,0.9825543272971684
GO Trips,26.0,0.9838862699295079
GO Trips,27.0,0.9838862909322793
GO Trips,28.0,0.9838952988404968
GO Trips,29.0,0.9843794576026133
GO Trips,30.0,0.9864837623787472
GO Trips,31.0,0.9881188597722251
GO Trips,32.0,0.9877263246216222
GO Trips,33.0,0.9858662729546347
GO Trips,34.0,0.9850169247948449
GO Trips,35.0,0.9849047398399098
GO Trips,36.0,0.9859005301995141
GO Trips,37.0,0.9866983552203339
GO Trips,38.0,0.9879310584130679
GO Trips,39.0,0.9889540849943517
GO Trips,40.0,0.9891656852155994
GO Trips,41.0,0.9907451485764218
GO Trips,42.0,0.9920123384695682
GO Trips,43.0,0.9923995806066933
GO Trips,44.0,0.9933602311686442
GO Trips,45.0,0.9974161896240078
GO Trips,46.0,0.9979249011857707
GO Trips,47.0,1.0
GO Trips,48.0,0.9991554054054054
GO Trips,49.0,1.0
GO Trips,50.0,1.0
GO Trips,51.0,1.0
GO Trips,52.0,1.0
GO Trips,53.0,1.0
GO Trips,54.0,1.0
GO Trips,55.0,1.0
GO Trips,56.0,1.0
GO Trips,57.0,1.0
GO Trips,58.0,1.0
GO Trips,59.0,1.0
GO Trips,60.0,1.0
GO Trips,61.0,1.0
GO Trips,62.0,1.0
Start Go,0.0,0.9739181442357941
Start Go,1.0,0.984590911677513
Start Go,2.0,0.9859682375024081
Start Go,3.0,0.9868297802915043
Start Go,4.0,0.9875631654958643
Start Go,5.0,0.9880535083211832
Start Go,6.0,0.988638461136226
Start Go,7.0,0.9891464968055013
Start Go,8.0,0.9897191046847609
Start Go,9.0,0.9903084025869759
Start Go,10.0,0.9911692601559253
Start Go,11.0,0.991552209561062
Start Go,12.0,0.9922443606411275
Start Go,13.0,0.9927955981395273
Start Go,14.0,0.9931232233254512
Start Go,15.0,0.9936577064596473
Start Go,16.0,0.9940528090428575
Start Go,17.0,0.9944572170824835
Start Go,18.0,0.9947655939548694
Start Go,19.0,0.9950580628171749
Start Go,20.0,0.9952585355349983
Start Go,21.0,0.9954830115983576
Start Go,22.0,0.996041059603484
Start Go,23.0,0.996741080682888
Start Go,24.0,0.9974354267634745
Start Go,25.0,0.9977224653011703
Start Go,26.0,0.9980393005581213
Start Go,27.0,0.9982027267415333
Start Go,28.0,0.9981900468548451
Start Go,29.0,0.9982578869045835
Start Go,30.0,0.9983841391967523
Start Go,31.0,0.9983987262313506
Start Go,32.0,0.9983843729134478
Start Go,33.0,0.9984960697754081
Start Go,34.0,0.9985095500310901
Start Go,35.0,0.9986001038915159
Start Go,36.0,0.9986715222386817
Start Go,37.0,0.9987776401480163
Start Go,38.0,0.9987922460362599
Start Go,39.0,0.9989301444362192
Start Go,40.0,0.9990128092146591
Start Go,41.0,0.999142936620939
Start Go,42.0,0.9992130087126487
Start Go,43.0,0.9992895628328203
Start Go,44.0,0.999479844064725
Start Go,45.0,0.9996237351071482
Start Go,46.0,0.9995576345178632
Start Go,47.0,0.9997241468853213
Start Go,48.0,0.9998442659310632
Start Go,49.0,0.9999038738825339
Start Go,50.0,1.0
Start Go,51.0,1.0
Start Go,52.0,1.0
Start Go,53.0,1.0
Start Go,54.0,1.0
Start Go,55.0,1.0
Start Go,56.0,1.0
Start Go,57.0,1.0
Start Go,58.0,1.0
Start Go,59.0,1.0
Start Go,60.0,1.0
Start Go,61.0,1.0
Start Go,62.0,1.0
Trip plans,0.0,0.9668799274466873
Trip plans,1.0,0.9806905627419649
Trip plans,2.0,0.9830054651550579
Trip plans,3.0,0.9842198103353335
Trip plans,4.0,0.985046490402042
Trip plans,5.0,0.9857434716435444
Trip plans,6.0,0.9864004716039355
Trip plans,7.0,0.987099756389374
Trip plans,8.0,0.9878505873712998
Trip plans,9.0,0.9887824736423412
Trip plans,10.0,0.9894419783065187
Trip plans,11.0,0.9901842682210373
Trip plans,12.0,0.9909423217449987
Trip plans,13.0,0.9916719438490237
Trip plans,14.0,0.9923475429324868
Trip plans,15.0,0.9928946748148425
Trip plans,16.0,0.9934177053770755
Trip plans,17.0,0.9938481163138149
