,address,address2,city,description,feed_code,hubspot_owner_id,hubspot_id,name,state
45,100 Leibert Road,,Hartford,,"CTTHART, CTTHART, CTTMERI, CTTNB, CTTNH, CTTSTAM, CTTWAT",,1737370037,CT Transit,CT
67,15 BOULEVARD MAPLE,,Châteauguay,Planifiez vos déplacements en transport collectif dans la région du grand Montréal.,"AMTTRAINS, CITCRC, MRC2M, CITHSL, MRCLASSO, CITPI, CITLA, CITLR, CITROUS, OMITSJU, CITSV, CITSO, MRCLM, CITVR",,1737370070,Exo,Quebec
107,19 Martin Place,,Sydney,"The Government of New South Wales, also referred to as the New South Wales Government or NSW Government, is the Australian state democratic administrative authority of New South Wales.","SYDNB10AU, SYDNB12AU, SYDNB13AU, SYDNB14AU, SYDNB15AU, SYDNB1AU, SYDNB2AU, SYDNB3AU, SYDNB4AU, SYDNB5AU, SYDNB6AU, SYDNB7AU, SYDNB8AU, SYDNB9AU, SYDNFAU, SYDNR0AU, SYDNR2AU, NSWB1AU NSWTLAU",,1737381533,New South Wales Government,NSW
242,1900 Yonge Street,,Toronto,"The Toronto Transit Commission is the quick, convenient and safe way to get around Toronto. The subway system is linked with buses and streetcars to get you around Toronto on one fare, provided it's a one-way trip with no stopovers. You can travel on the TTC every day.","TTC, TTC1ON",,1737429979,Toronto Transit Commission (TTC),Ontario
256,520 GORGE ROAD EAST,,Victoria,"BC Transit is a provincial crown corporation responsible for coordinating the delivery of public transportation within British Columbia, Canada, outside Greater Vancouver.","BCTV, BCTBC, BCTCR, BCTCFV, CFVBC, BCTC, BCTCV, BCTCWV, BCTCB, BCTDC, BCTFSJ, BCTFVX, FVXBC, BCTKM, BCTK, BCTN, BCTPG, BCTS, BCTSC, BCTVN, BCTV, BCTWK, BCTW",,1737430001,BC Transit,British Columbia
259,1 Gateway Plaza,,Los Angeles,The Los Angeles County Metropolitan Transportation Authority is an agency that operates public transportation in the Los Angeles metropolitan area.,"MLA, METRRCA",,1737430006,LA Metro,CA
336,516 3rd Avenue,,Seattle,,"KMD, KCM",,1737434270,King County Transit,WA
357,5 Quay Street,,Tauranga,,"BOPRCNZ, BOPRONZ, BOPRSNZ",,1737480662,Baybus - Bay of Plenty,Bay Of Plenty
491,"WINDSOR HOUSE, 42-50 VICTORIA ST",,London,"Transport for London is a local government body responsible for the transport system in Greater London, England.","TFLUUK,TFLB0UK, TFLB1UK, TFLB2UK, TFLB3UK, TFLB4UK, TFLB5UK, TFLBAUK, TFLBNUK, LRUK",,1765073643,Transport for London,Greater London
498,1234 Market Street,,Philadelphia,"The Southeastern Pennsylvania Transportation Authority is a regional public transportation authority that operates bus, rapid transit, commuter rail, light rail, and electric trolleybus services for nearly 4 million people in five counties in and aroun...","SEPTAB, SEPTAR",,1765076329,Septa,PA
564,2424 Piedmont Road Northeast,,Atlanta,The Metropolitan Atlanta Rapid Transit Authority is the principal public transport operator in the Atlanta metropolitan area.,"ASGA, MARTA",,1765081195,MARTA,GA
614,6 Place Pierre Semard,,Saint-Nazaire,"La STRAN est un acteur de mobilité globale sur Saint-Nazaire, et sur l’ensemble du territoire de la CARENE. Sa vocation est d’offrir les meilleures qualités de services de transports collectifs, de stationnements, et de locations de vélos aux habitants de la CARENE","STRANSFR, STRANSFR",,1780890014,Société des transports de l'agglomération nazairienne (STRAN Scolaires),Pays de la Loire
615,1 Penn E Plz,,New Jersey,"New Jersey Transit Corporation, branded as NJ Transit, and often shortened to NJT, is a state-owned public transportation system that serves the US state of New Jersey, along with portions of New York State and Pennsylvania.","NJTB, NJTR",,1780890015,NJ Transit,NJ
617,45 Via Prenestina,,Roma,"Agenzia del trasporto autoferrotranviario del Comune di Roma. Gli orari ed i percorsi delle linee, i biglietti e gli abbonamenti, le promozioni metrebus. Aree e costi delle strisce blu, parcheggi di scambio.","ATACIT, ATACITRT",,1780890017,ATAC,Lazio
693,1 Rue de la Loire,,Nantes,Bienvenue sur la page officielle de la Région des Pays de la Loire ! Cette page est un espace de dialogue ouvert à tous sur lequel vous pourrez retrouver toute l’actualité et la vie de l’institution en image ou en vidéo. Mais aussi des bons plans e...,"LILAFR, ALEOFR",,1780905473,Aléop (ex-Lila),Pays de la Loire
721,114 AVE EMILE COUNORD,,Bordeaux,"Retrouvez toutes les infos (itinéraire, services, horaires, plans...) sur les transports en commun dans la métropole de Bordeaux avec TBM : Tram, Bus, V3, Bat3 etc.","TBCT, TBCT",,1780955250,TBM,Nouvelle-Aquitaine
733,Zenith Tower 821 Pacific Highway,,"Melbourne, Victoria, AU","Welcome to Public Transport Victoria, your guide to public transport in metropolitan Melbourne and regional Victoria.","PTVTBAU, PTVISAU, PTVMBAU, PTVMTAU, PTVMTRAMAU, PTVNBAU, PTVRBAU, PTVRCAU, PTVRTAU, PTVSBAU",,1780960163,Public Transit Victoria,Victoria
770,54 Quai de la Rapée,,Paris,"Transport à Paris et en Ile-de-France : itinéraires, plans de métro, bus et RER, informations sur : trafic, tarifs, horaires, quartiers...","RATP, RATPS",,1780969479,RATP,Île-de-France
